time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
44,2025-12-13 09:28:57.740879,18.169011753278536,18.169011753278536,201.23376076574823,88,9.865367085333101,79.60466803839607,95.52560164607529,0.753138947911216,84.60379230057761,8.460379230057761,6.865231922020994,89.77416913584314,89.77416913584314,0.6852737980132237,74.68341314813645,7.468341314813646
45,2025-12-13 09:28:58.740879,16.331717256028547,16.331717256028547,201.22849132678982,88,8.867754355078278,79.60250727953762,95.52300873544513,0.6769786004362904,84.60174828306421,8.460174828306421,6.171008631410724,89.77241998373673,89.77241998373673,0.615975669103254,74.68151198866391,7.468151198866392
46,2025-12-13 09:28:59.740879,16.896539120412488,16.896539120412488,201.22375474635467,88,9.174437195744277,79.60027179289148,95.52032615146977,0.700390432753923,84.5996335776513,8.45996335776513,6.384434174323301,89.77061033686192,89.77061033686192,0.6372773175909888,74.67954508336271,7.467954508336271
47,2025-12-13 09:29:00.740879,23.343668260602563,23.343668260602563,201.21885435443312,88,12.675078110515152,79.5971833235663,95.51661998827956,0.9676334793783854,84.59671197898169,8.45967119789817,8.820518691311555,89.76811018984057,89.76811018984057,0.8804379793974709,74.67682768219173,7.467682768219173
48,2025-12-13 09:29:01.740879,21.627549142037406,21.627549142037406,201.21208414423745,88,11.743259726838067,79.5943219055042,95.51318628660505,0.8964956245214417,84.59400516852118,8.459400516852117,8.172084253547979,89.76579383942857,89.76579383942857,0.8157095371299166,74.67431006016355,7.467431006016355
49,2025-12-13 09:29:02.740879,23.02773128964369,23.02773128964369,201.20581164890206,88,12.50352142291286,79.59127523849082,95.50953028618899,0.9545334904411583,84.59112312295825,8.459112312295826,8.701159907849213,89.76332752426194,89.76332752426194,0.8685164684404617,74.67162945377947,7.467162945377948
50,2025-12-13 09:29:03.740879,-37.37924611587232,-37.37924611587231,201.1991330681247,88,-18.825323438001607,79.58713541041996,95.50456249250395,-1.568799879639273,84.58711396771028,8.458711396771028,-15.4284566313447,89.7591275555123,89.7591275555123,-1.5566661668867374,74.66773778836226,7.4667737788362265
51,2025-12-13 09:29:04.740879,-38.7440843700739,-38.7440843700739,201.1891752236235,88,-19.51262359856611,79.58284443995268,95.49941332794322,-1.6260553149975414,84.58295849301639,8.458295849301638,-15.991940194998364,89.75477419401477,89.75477419401477,-1.613465261511886,74.66370412520848,7.466370412520849
52,2025-12-13 09:29:05.740879,-37.768644661538275,-37.768644661538275,201.17885378378048,88,-19.02128982944219,79.57866151742074,95.49439382090489,-1.5850901311103232,84.57890770712578,8.457890770712579,-15.589461081802279,89.75053039627583,89.75053039627583,-1.5728036191834829,74.65977211616053,7.465977211616053
53,2025-12-13 09:29:06.740879,-40.51351478029759,-40.51351478029759,201.16879219950937,88,-20.40360117977587,79.57417461438352,95.48900953726022,-1.7002599310769846,84.57456259841302,8.457456259841303,-16.72258722237768,89.74597813642086,89.74597813642086,-1.6870664470670589,74.65555445004286,7.465555445004286
54,2025-12-13 09:29:07.740879,-40.50897583615971,-40.50897583615971,201.15799937852668,88,-20.401231690794976,79.56968823241448,95.48362587889739,-1.7000393737098112,84.57021805334688,8.457021805334687,-16.720872454053804,89.74142634336393,89.74142634336393,-1.6868323176011228,74.65133736924885,7.465133736924885
55,2025-12-13 09:29:08.740879,-40.36089086073727,-40.36089086073727,201.14720776452089,88,-20.32656954950963,79.56521826920336,95.47826192304402,-1.693794752966272,84.56588946675596,8.456588946675597,-16.65990556792424,89.73689114684821,89.73689114684821,-1.680620990337125,74.647135816773,7.4647135816773
56,2025-12-13 09:29:09.740879,-39.995277955582644,-39.995277955582644,201.1364555982451,88,-20.142357291565794,79.56078881563229,95.47294657875875,-1.6784218060515688,84.56160016658494,8.456160016658494,-16.50914626802909,89.73239699036414,89.73239699036414,-1.6653525899361925,74.64297243529816,7.464297243529816
57,2025-12-13 09:29:10.740879,-41.16320846415317,-41.16320846415317,201.12580082931117,88,-20.73046484357862,79.55623003285419,95.46747603942504,-1.7274044700959414,84.5571856884947,8.45571856884947,-16.991400616058662,89.72777155352976,89.72777155352976,-1.713938534419949,74.63868758896211,7.463868758896211
