time_seconds,time_hours,total_power,氢燃料电池_power,氢燃料电池_SOC,氢燃料电池_energy,铁硫电池_power,铁硫电池_SOC,铁硫电池_energy,钠电池_power,钠电池_SOC,钠电池_energy,钒液流电池_power,钒液流电池_SOC,钒液流电池_energy
119,0.03305555555555555,-100.0,-60.0,75.94208333333417,151.88416666666834,-5.0,86.15205555555497,86.15205555555497,-29.998204335219253,92.97178645465127,92.97178645465127,-5.0,82.14874999999986,82.14874999999988
120,0.03333333333333333,-100.0,-60.0,75.95000000000084,151.90000000000168,-5.0,86.15333333333274,86.15333333333274,-29.998201378999582,92.97995263249807,92.97995263249805,-5.0,82.14999999999986,82.14999999999985
121,0.03361111111111111,-100.0,-60.0,75.95791666666751,151.91583333333503,-5.0,86.15461111111051,86.15461111111051,-29.998198422719664,92.98811880954013,92.98811880954013,-5.0,82.15124999999986,82.15124999999985
122,0.03388888888888889,-100.0,-60.0,75.96583333333419,151.93166666666838,-5.0,86.15588888888828,86.1558888888883,-29.998195452670235,92.99628498577742,92.99628498577742,-5.0,82.15249999999986,82.15249999999986
123,0.034166666666666665,-100.0,-60.0,75.97375000000086,151.94750000000172,-5.0,86.15716666666606,86.15716666666606,-29.998192471912763,93.0044511612062,93.00445116120619,-5.0,82.15374999999986,82.15374999999986
124,0.034444444444444444,-100.0,-60.0,75.98166666666754,151.96333333333507,-5.0,86.15844444444383,86.15844444444383,-29.998189475422542,93.01261733582356,93.01261733582356,-5.0,82.15499999999986,82.15499999999986
125,0.034722222222222224,-100.0,-60.0,75.98958333333421,151.97916666666842,-5.0,86.1597222222216,86.1597222222216,-29.998186470953602,93.0207835096252,93.0207835096252,-5.0,82.15624999999986,82.15624999999986
126,0.035,-100.0,-60.0,75.99750000000088,151.99500000000177,-5.0,86.16099999999938,86.16099999999936,-29.998183450224435,93.02894968260897,93.02894968260897,-5.0,82.15749999999986,82.15749999999986
127,0.035277777777777776,-100.0,-60.0,76.00541666666756,152.0108333333351,-5.0,86.16227777777715,86.16227777777715,-29.99818043361099,93.03711585477042,93.03711585477042,-5.0,82.15874999999986,82.15874999999986
128,0.035555555555555556,-100.0,-60.0,76.01333333333423,152.02666666666846,-5.0,86.16355555555492,86.16355555555492,-29.998177400987398,93.04528202611068,93.04528202611068,-5.0,82.15999999999985,82.15999999999985
129,0.035833333333333335,-100.0,-60.0,76.0212500000009,152.0425000000018,-5.0,86.1648333333327,86.1648333333327,-29.998174360023313,93.0534481966254,93.0534481966254,-5.0,82.16124999999985,82.16124999999985
